method,model,band,draw,size_multiplier,n_edges,n_edges_acdc_ref,total_edges,size_fraction,n_edges_method,n_edges_acdc,n_intersection,n_union,jaccard,recall_in_acdc,recall_in_method,dice
eap_ig,pythia-1b,very_low,draw_3,0.1,92,922,10009,0.00919172744529923,92,922,86,928,0.09267241379310345,0.09327548806941431,0.9347826086956522,0.16962524654832348
eap_ig,pythia-1b,very_low,draw_3,0.2,184,922,10009,0.01838345489059846,184,922,157,949,0.1654373024236038,0.1702819956616052,0.8532608695652174,0.28390596745027125
eap_ig,pythia-1b,very_low,draw_3,0.3,277,922,10009,0.027675092416824858,277,922,223,976,0.22848360655737704,0.2418655097613883,0.8050541516245487,0.371976647206005
eap_ig,pythia-1b,very_low,draw_3,0.5,461,922,10009,0.04605854730742332,461,922,326,1057,0.30842005676442763,0.35357917570498915,0.7071583514099783,0.47143890093998553
eap_ig,pythia-1b,very_low,draw_3,0.75,692,922,10009,0.06913777600159857,692,922,446,1168,0.3818493150684932,0.4837310195227766,0.6445086705202312,0.5526641883519207
eap_ig,pythia-1b,very_low,draw_3,1.0,922,922,10009,0.09211709461484664,922,922,528,1316,0.4012158054711246,0.5726681127982647,0.5726681127982647,0.5726681127982647
eap_ig,pythia-1b,very_low,draw_3,1.5,1383,922,10009,0.13817564192226997,1383,922,644,1661,0.3877182420228778,0.6984815618221258,0.4656543745480839,0.5587852494577007
eap_ig,pythia-1b,very_low,draw_3,2.0,1844,922,10009,0.18423418922969328,1844,922,723,2043,0.35389133627019087,0.7841648590021691,0.3920824295010846,0.5227765726681128
eap_ig,pythia-1b,very_low,draw_3,3.0,2766,922,10009,0.27635128384453994,2766,922,819,2869,0.2854653189264552,0.8882863340563991,0.2960954446854664,0.44414316702819956
eap_ig,pythia-1b,very_low,draw_3,5.0,4610,922,10009,0.4605854730742332,4610,922,886,4646,0.19070167886353853,0.9609544468546638,0.19219088937093276,0.3203181489515546
eap_ig,pythia-1.4b,very_low,draw_1,0.1,226,2265,80581,0.0028046313647137663,226,2265,182,2309,0.07882200086617583,0.08035320088300221,0.8053097345132744,0.14612605379365717
eap_ig,pythia-1.4b,very_low,draw_1,0.2,453,2265,80581,0.005621672602722726,453,2265,328,2390,0.13723849372384936,0.14481236203090508,0.7240618101545254,0.24135393671817512
eap_ig,pythia-1.4b,very_low,draw_1,0.3,680,2265,80581,0.008438713840731686,680,2265,452,2493,0.18130766145206578,0.19955849889624724,0.6647058823529411,0.3069609507640068
eap_ig,pythia-1.4b,very_low,draw_1,0.5,1132,2265,80581,0.014047976570159219,1132,2265,666,2731,0.24386671548883193,0.29403973509933773,0.588339222614841,0.3921106858993229
eap_ig,pythia-1.4b,very_low,draw_1,0.75,1699,2265,80581,0.02108437472853402,1699,2265,882,3082,0.28617780661907855,0.3894039735099338,0.5191288993525603,0.4450050454086781
eap_ig,pythia-1.4b,very_low,draw_1,1.0,2265,2265,80581,0.028108363013613632,2265,2265,1033,3497,0.29539605376036604,0.45607064017660043,0.45607064017660043,0.45607064017660043
eap_ig,pythia-1.4b,very_low,draw_1,1.5,3398,2265,80581,0.04216874945706804,3398,2265,1274,4389,0.2902711323763955,0.5624724061810155,0.37492642731018244,0.449938195302843
eap_ig,pythia-1.4b,very_low,draw_1,2.0,4530,2265,80581,0.056216726027227264,4530,2265,1443,5352,0.26961883408071746,0.6370860927152318,0.3185430463576159,0.42472406181015454
eap_ig,pythia-1.4b,very_low,draw_1,3.0,6795,2265,80581,0.08432508904084089,6795,2265,1660,7400,0.22432432432432434,0.7328918322295805,0.24429727740986018,0.36644591611479027
eap_ig,pythia-1.4b,very_low,draw_1,5.0,11325,2265,80581,0.14054181506806815,11325,2265,1929,11661,0.1654232055569848,0.8516556291390729,0.17033112582781457,0.2838852097130243
eap_ig,pythia-1.4b,very_low,draw_2,0.1,241,2409,80581,0.002990779464141671,241,2409,193,2457,0.07855107855107855,0.08011623080116231,0.8008298755186722,0.14566037735849058
eap_ig,pythia-1.4b,very_low,draw_2,0.2,482,2409,80581,0.005981558928283342,482,2409,355,2536,0.13998422712933753,0.1473640514736405,0.7365145228215768,0.24558976132826013
eap_ig,pythia-1.4b,very_low,draw_2,0.3,723,2409,80581,0.008972338392425014,723,2409,484,2648,0.18277945619335348,0.2009132420091324,0.669432918395574,0.3090676883780332
eap_ig,pythia-1.4b,very_low,draw_2,0.5,1204,2409,80581,0.014941487447413162,1204,2409,713,2900,0.24586206896551724,0.29597343295973433,0.5921926910299004,0.3946858566288403
eap_ig,pythia-1.4b,very_low,draw_2,0.75,1807,2409,80581,0.022424641044414936,1807,2409,938,3278,0.28615009151921905,0.3893731838937318,0.5190924183729939,0.4449715370018975
eap_ig,pythia-1.4b,very_low,draw_2,1.0,2409,2409,80581,0.02989538476812152,2409,2409,1124,3694,0.3042772062804548,0.46658364466583646,0.46658364466583646,0.46658364466583646
eap_ig,pythia-1.4b,very_low,draw_2,1.5,3614,2409,80581,0.04484928208882987,3614,2409,1386,4637,0.2989001509596722,0.5753424657534246,0.3835085777531821,0.46023576290884943
eap_ig,pythia-1.4b,very_low,draw_2,2.0,4818,2409,80581,0.05979076953624304,4818,2409,1563,5664,0.2759533898305085,0.6488169364881694,0.3244084682440847,0.43254462432544627
eap_ig,pythia-1.4b,very_low,draw_2,3.0,7227,2409,80581,0.08968615430436455,7227,2409,1796,7840,0.22908163265306122,0.7455375674553757,0.24851252248512523,0.37276878372768785
eap_ig,pythia-1.4b,very_low,draw_2,5.0,12045,2409,80581,0.1494769238406076,12045,2409,2037,12417,0.1640492872674559,0.8455790784557908,0.16911581569115816,0.2818596928185969
eap_ig,pythia-1.4b,very_low,draw_3,0.1,215,2152,80581,0.002668122758466636,215,2152,172,2195,0.07835990888382688,0.07992565055762081,0.8,0.14533164343050275
eap_ig,pythia-1.4b,very_low,draw_3,0.2,430,2152,80581,0.005336245516933272,430,2152,316,2266,0.13945278022947927,0.14684014869888476,0.7348837209302326,0.2447714949651433
eap_ig,pythia-1.4b,very_low,draw_3,0.3,646,2152,80581,0.008016778148695102,646,2152,438,2360,0.18559322033898304,0.20353159851301114,0.6780185758513931,0.3130807719799857
eap_ig,pythia-1.4b,very_low,draw_3,0.5,1076,2152,80581,0.013353023665628374,1076,2152,616,2612,0.23583460949464014,0.2862453531598513,0.5724907063197026,0.38166047087980176
eap_ig,pythia-1.4b,very_low,draw_3,0.75,1614,2152,80581,0.020029535498442563,1614,2152,797,2969,0.2684405523745369,0.37035315985130113,0.49380421313506817,0.4232607541157727
eap_ig,pythia-1.4b,very_low,draw_3,1.0,2152,2152,80581,0.026706047331256748,2152,2152,959,3345,0.2866965620328849,0.44563197026022305,0.44563197026022305,0.44563197026022305
eap_ig,pythia-1.4b,very_low,draw_3,1.5,3228,2152,80581,0.040059070996885125,3228,2152,1196,4184,0.2858508604206501,0.5557620817843866,0.3705080545229244,0.4446096654275093
eap_ig,pythia-1.4b,very_low,draw_3,2.0,4304,2152,80581,0.053412094662513496,4304,2152,1348,5108,0.2638997650743931,0.6263940520446096,0.3131970260223048,0.41759603469640644
eap_ig,pythia-1.4b,very_low,draw_3,3.0,6456,2152,80581,0.08011814199377025,6456,2152,1561,7047,0.2215127004399035,0.7253717472118959,0.2417905824039653,0.36268587360594795
eap_ig,pythia-1.4b,very_low,draw_3,5.0,10760,2152,80581,0.13353023665628375,10760,2152,1805,11107,0.16251012874763662,0.8387546468401487,0.16775092936802974,0.2795848822800496
