model,draw,band,layer,mean_norm,std_norm,median_norm
pythia-160m,draw_2,high,10,19.651241302490234,1.7282989025115967,19.646883010864258
pythia-160m,draw_2,high,11,94.10092163085938,9.79883098602295,93.2520523071289
pythia-160m,draw_2,very_high,0,8.009228706359863,0.46276670694351196,7.950010299682617
pythia-160m,draw_2,very_high,1,5.204570293426514,0.5785113573074341,5.1641011238098145
pythia-160m,draw_2,very_high,2,6.351660251617432,0.5450472235679626,6.356804847717285
pythia-160m,draw_2,very_high,3,6.150786876678467,0.45855748653411865,6.1019206047058105
pythia-160m,draw_2,very_high,4,6.785572528839111,0.3938600420951843,6.758955001831055
pythia-160m,draw_2,very_high,5,10.271659851074219,2.0414395332336426,9.739496231079102
pythia-160m,draw_2,very_high,6,11.241273880004883,2.1568260192871094,10.932796478271484
pythia-160m,draw_2,very_high,7,15.635090827941895,2.9630753993988037,15.429574966430664
pythia-160m,draw_2,very_high,8,21.47532081604004,5.078799724578857,21.224895477294922
pythia-160m,draw_2,very_high,9,21.92861557006836,3.7195985317230225,22.3763427734375
pythia-160m,draw_2,very_high,10,20.85637664794922,1.979245901107788,20.783456802368164
pythia-160m,draw_2,very_high,11,95.93700408935547,10.470677375793457,96.60525512695312
pythia-160m,draw_2,control,0,8.2374906539917,0.6677905321121216,8.082406997680664
pythia-160m,draw_2,control,1,5.218428611755371,0.6348917484283447,5.207135200500488
pythia-160m,draw_2,control,2,6.351756572723389,0.5710502862930298,6.3128838539123535
pythia-160m,draw_2,control,3,6.20779275894165,0.44473564624786377,6.176478385925293
pythia-160m,draw_2,control,4,6.786732196807861,0.4093115031719208,6.775956153869629
pythia-160m,draw_2,control,5,10.332072257995605,2.371873140335083,9.79611587524414
pythia-160m,draw_2,control,6,10.829333305358887,2.226608991622925,10.460894584655762
pythia-160m,draw_2,control,7,14.981779098510742,2.827065944671631,14.739692687988281
pythia-160m,draw_2,control,8,21.535064697265625,5.377919673919678,21.428831100463867
pythia-160m,draw_2,control,9,21.869977951049805,3.9276652336120605,22.008197784423828
pythia-160m,draw_2,control,10,20.668516159057617,2.121878147125244,20.34402084350586
pythia-160m,draw_2,control,11,95.280517578125,10.872315406799316,95.31793975830078
pythia-160m,draw_3,low,0,9.799483299255371,0.7944004535675049,9.834925651550293
pythia-160m,draw_3,low,1,5.495818138122559,0.7637143135070801,5.520174026489258
pythia-160m,draw_3,low,2,6.4095540046691895,0.5763481259346008,6.344356536865234
pythia-160m,draw_3,low,3,6.607553005218506,0.4798505902290344,6.59124231338501
pythia-160m,draw_3,low,4,6.9206671714782715,0.3997713327407837,6.91815710067749
pythia-160m,draw_3,low,5,9.730260848999023,0.8512603044509888,9.68844985961914
pythia-160m,draw_3,low,6,10.65836238861084,1.5459158420562744,10.571824073791504
pythia-160m,draw_3,low,7,13.307469367980957,1.772839069366455,13.020384788513184
pythia-160m,draw_3,low,8,24.30144500732422,5.910665512084961,24.5117130279541
pythia-160m,draw_3,low,9,21.42587661743164,2.425410747528076,21.59747314453125
pythia-160m,draw_3,low,10,18.382802963256836,1.5862443447113037,18.244352340698242
