model,draw,band,layer,mean_logit_contrib,std_logit_contrib,median_logit_contrib,method
pythia-410m,draw_2,very_high,10,-0.06392372399568558,0.21769091486930847,-0.07162019610404968,direct
pythia-410m,draw_2,very_high,11,-0.13590280711650848,0.21663665771484375,-0.12682700157165527,direct
pythia-410m,draw_2,very_high,12,-0.12696947157382965,0.19101497530937195,-0.11500217020511627,direct
pythia-410m,draw_2,very_high,13,-0.06590141355991364,0.24740421772003174,-0.04860541224479675,direct
pythia-410m,draw_2,very_high,14,0.051478441804647446,0.20544543862342834,0.058293744921684265,direct
pythia-410m,draw_2,very_high,15,0.20451384782791138,0.20019835233688354,0.20181745290756226,direct
pythia-410m,draw_2,very_high,16,0.030990293249487877,0.2782091796398163,0.0077061727643013,direct
pythia-410m,draw_2,very_high,17,0.12401162087917328,0.24574518203735352,0.11290581524372101,direct
pythia-410m,draw_2,very_high,18,0.15082496404647827,0.2957439124584198,0.1549207717180252,direct
pythia-410m,draw_2,very_high,19,0.18600615859031677,0.3212451636791229,0.1840251386165619,direct
pythia-410m,draw_2,very_high,20,0.19793601334095,0.2658250629901886,0.20577043294906616,direct
pythia-410m,draw_2,very_high,21,0.18349117040634155,0.36621034145355225,0.2102506458759308,direct
pythia-410m,draw_2,very_high,22,0.5526903867721558,0.44094371795654297,0.5372964143753052,direct
pythia-410m,draw_2,very_high,23,2.8845648765563965,0.6932297348976135,2.889554023742676,direct
pythia-410m,draw_2,control,0,-0.024768400937318802,0.2468804568052292,-0.0076685696840286255,direct
pythia-410m,draw_2,control,1,-0.007152282167226076,0.13326473534107208,-0.009808015078306198,direct
pythia-410m,draw_2,control,2,-0.01940765231847763,0.14364230632781982,-0.010341541841626167,direct
pythia-410m,draw_2,control,3,-0.006011481396853924,0.15881891548633575,-0.002750631421804428,direct
pythia-410m,draw_2,control,4,0.029187291860580444,0.14755775034427643,0.02526991069316864,direct
pythia-410m,draw_2,control,5,0.03046373277902603,0.21677955985069275,0.028758913278579712,direct
pythia-410m,draw_2,control,6,0.003941484726965427,0.16414733231067657,-0.006532110273838043,direct
pythia-410m,draw_2,control,7,-0.030593104660511017,0.18636281788349152,-0.018263205885887146,direct
pythia-410m,draw_2,control,8,-0.0016117827035486698,0.24132627248764038,0.0008474066853523254,direct
pythia-410m,draw_2,control,9,-0.056133341044187546,0.25835341215133667,-0.059682562947273254,direct
pythia-410m,draw_2,control,10,-0.0890331119298935,0.22829151153564453,-0.09178881347179413,direct
