model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-1b,draw_1,very_high,14,1,3.030524730682373,0.5546446442604065,3.0987935066223145
pythia-1b,draw_1,very_high,14,2,2.572265863418579,0.8949886560440063,2.662752151489258
pythia-1b,draw_1,very_high,14,3,2.9424962997436523,0.632592499256134,3.039830446243286
pythia-1b,draw_1,very_high,14,4,3.751044750213623,0.3019026815891266,3.814720869064331
pythia-1b,draw_1,very_high,14,5,2.8045692443847656,0.4195244312286377,2.7944984436035156
pythia-1b,draw_1,very_high,14,6,2.9808621406555176,0.7241454720497131,3.159327983856201
pythia-1b,draw_1,very_high,14,7,2.720475196838379,0.5194945931434631,2.70930552482605
pythia-1b,draw_1,very_high,15,0,1.991278052330017,0.644318163394928,1.974365234375
pythia-1b,draw_1,very_high,15,1,2.751779317855835,0.7641595005989075,2.8658666610717773
pythia-1b,draw_1,very_high,15,2,3.4872477054595947,0.4211421310901642,3.536511182785034
pythia-1b,draw_1,very_high,15,3,3.162079095840454,0.3483528196811676,3.221714973449707
pythia-1b,draw_1,very_high,15,4,2.8164620399475098,0.5214939713478088,2.841460704803467
pythia-1b,draw_1,very_high,15,5,2.7081265449523926,0.5708215236663818,2.797670602798462
pythia-1b,draw_1,very_high,15,6,3.264904499053955,0.309810996055603,3.2818031311035156
pythia-1b,draw_1,very_high,15,7,2.9426522254943848,0.4733700752258301,2.8941383361816406
pythia-1b,draw_1,control,0,0,3.848156452178955,0.03853582218289375,3.8471438884735107
pythia-1b,draw_1,control,0,1,3.708428382873535,0.36992353200912476,3.7790873050689697
pythia-1b,draw_1,control,0,2,0.007110923994332552,0.0035687696654349566,0.006221728399395943
pythia-1b,draw_1,control,0,3,3.353104829788208,0.47579336166381836,3.4627370834350586
pythia-1b,draw_1,control,0,4,4.159922122955322,0.09679555892944336,4.174942970275879
pythia-1b,draw_1,control,0,5,4.049206733703613,0.1523393988609314,4.087364196777344
pythia-1b,draw_1,control,0,6,2.453486680984497,0.2481416016817093,2.4610061645507812
pythia-1b,draw_1,control,0,7,2.834963083267212,0.676831841468811,2.949312448501587
pythia-1b,draw_1,control,1,0,2.3915321826934814,0.4518912136554718,2.4368324279785156
pythia-1b,draw_1,control,1,1,3.8589937686920166,0.11666077375411987,3.870959758758545
pythia-1b,draw_1,control,1,2,1.7207858562469482,0.561529278755188,1.6664893627166748
pythia-1b,draw_1,control,1,3,1.9272050857543945,0.24879896640777588,1.9166356325149536
pythia-1b,draw_1,control,1,4,0.8390384912490845,0.370528906583786,0.799668550491333
pythia-1b,draw_1,control,1,5,3.9978222846984863,0.23289018869400024,4.052200794219971
pythia-1b,draw_1,control,1,6,3.6625895500183105,0.06462924927473068,3.665217876434326
pythia-1b,draw_1,control,1,7,1.1506009101867676,0.23914383351802826,1.127751111984253
pythia-1b,draw_1,control,2,0,3.4842355251312256,0.3381762206554413,3.5069894790649414
