model,draw,band,layer,mean_kl,median_kl,std_kl
pythia-410m,draw_1,very_high,15,3.515528917312622,3.4823288917541504,1.4168879985809326
pythia-410m,draw_1,very_high,16,1.7086567878723145,1.614775538444519,0.8575082421302795
pythia-410m,draw_1,very_high,17,1.648451566696167,1.393087387084961,1.129537582397461
pythia-410m,draw_1,very_high,18,1.4264591932296753,1.1832058429718018,1.03245210647583
pythia-410m,draw_1,very_high,19,0.7889925241470337,0.6884522438049316,0.5416519641876221
pythia-410m,draw_1,very_high,20,0.6927720904350281,0.5728248357772827,0.4714938700199127
pythia-410m,draw_1,very_high,21,0.7196133136749268,0.5691681504249573,0.5627154111862183
pythia-410m,draw_1,very_high,22,0.6786765456199646,0.5627316236495972,0.5340797305107117
pythia-410m,draw_1,very_high,23,0.0,0.0,0.0
pythia-410m,draw_1,control,0,9.798395156860352,9.400934219360352,2.488126277923584
pythia-410m,draw_1,control,1,9.50689697265625,9.107138633728027,2.4799821376800537
pythia-410m,draw_1,control,2,9.382009506225586,9.01909065246582,2.497495412826538
pythia-410m,draw_1,control,3,9.108936309814453,8.825235366821289,2.428051471710205
pythia-410m,draw_1,control,4,9.07022476196289,8.837621688842773,2.474443197250366
pythia-410m,draw_1,control,5,8.782548904418945,8.442638397216797,2.6008574962615967
pythia-410m,draw_1,control,6,8.272978782653809,8.067246437072754,2.503568172454834
pythia-410m,draw_1,control,7,8.18025016784668,7.792380332946777,2.458568572998047
pythia-410m,draw_1,control,8,8.347773551940918,8.105833053588867,2.407453775405884
pythia-410m,draw_1,control,9,7.843730926513672,7.520048141479492,2.254120349884033
pythia-410m,draw_1,control,10,6.29352331161499,5.968957901000977,2.083709478378296
pythia-410m,draw_1,control,11,4.897156238555908,4.7097554206848145,1.717841386795044
pythia-410m,draw_1,control,12,5.243309497833252,5.193006992340088,1.6903607845306396
pythia-410m,draw_1,control,13,5.035587787628174,4.9056620597839355,1.5810459852218628
pythia-410m,draw_1,control,14,4.891628742218018,4.775876045227051,1.5481810569763184
pythia-410m,draw_1,control,15,3.7168760299682617,3.6002919673919678,1.415824294090271
pythia-410m,draw_1,control,16,1.692620873451233,1.5177874565124512,0.9830543398857117
pythia-410m,draw_1,control,17,1.6415092945098877,1.434960126876831,0.9862847328186035
pythia-410m,draw_1,control,18,1.2929154634475708,1.1337817907333374,0.7587424516677856
