model,draw,band,layer,mean_rank,median_rank,frac_top1,frac_top5
pythia-410m,draw_1,low,2,24851.71111111111,24847.0,0.0,0.0
pythia-410m,draw_1,low,3,24479.022222222222,23848.0,0.0,0.0
pythia-410m,draw_1,low,4,24343.253333333334,23900.0,0.0,0.0
pythia-410m,draw_1,low,5,24713.102222222224,25067.0,0.0,0.0
pythia-410m,draw_1,low,6,24108.16888888889,23481.0,0.0,0.0
pythia-410m,draw_1,low,7,23506.417777777777,23432.0,0.0,0.0
pythia-410m,draw_1,low,8,21717.746666666666,19733.0,0.0,0.0
pythia-410m,draw_1,low,9,21168.44,18435.0,0.0,0.0
pythia-410m,draw_1,low,10,8824.128888888888,4300.0,0.0,0.0044444444444444444
pythia-410m,draw_1,low,11,1353.0177777777778,246.0,0.017777777777777778,0.05333333333333334
pythia-410m,draw_1,low,12,1539.2133333333334,231.0,0.008888888888888889,0.06666666666666667
pythia-410m,draw_1,low,13,1685.4933333333333,264.0,0.02666666666666667,0.07555555555555556
pythia-410m,draw_1,low,14,1274.0177777777778,151.0,0.02666666666666667,0.1111111111111111
pythia-410m,draw_1,low,15,815.7688888888889,61.0,0.04888888888888889,0.17777777777777778
pythia-410m,draw_1,low,16,245.85333333333332,3.0,0.32,0.5422222222222223
pythia-410m,draw_1,low,17,17.186666666666667,0.0,0.6,0.8222222222222222
pythia-410m,draw_1,low,18,4.262222222222222,0.0,0.7422222222222222,0.9066666666666666
pythia-410m,draw_1,low,19,3.5733333333333333,0.0,0.68,0.9066666666666666
pythia-410m,draw_1,low,20,3.7288888888888887,0.0,0.6088888888888889,0.88
pythia-410m,draw_1,low,21,0.7244444444444444,0.0,0.7777777777777778,0.9511111111111111
pythia-410m,draw_1,low,22,0.08,0.0,0.9466666666666667,1.0
pythia-410m,draw_1,low,23,0.022222222222222223,0.0,0.9777777777777777,1.0
pythia-410m,draw_1,medium,0,22062.786666666667,22123.0,0.0,0.0
pythia-410m,draw_1,medium,1,22421.28,21991.0,0.0,0.0
pythia-410m,draw_1,medium,2,22446.386666666665,22050.0,0.0,0.0
pythia-410m,draw_1,medium,3,21754.493333333332,20764.0,0.0,0.0
