model,train_band,draw,test_band,same_band,n_examples,accuracy,mean_correct_prob,std_correct_prob,median_correct_prob
pythia-160m,very_high,draw_1,high,False,225,0.9244444444444444,0.4361992286104295,0.283489699611462,0.41284528374671936
pythia-160m,very_high,draw_1,very_high,True,225,0.9644444444444444,0.5285146881805526,0.26610965225425304,0.5558645129203796
pythia-160m,very_high,draw_1,control,False,225,0.9288888888888889,0.46124971647229457,0.2647991885835389,0.48336976766586304
pythia-160m,very_high,draw_2,low,False,225,0.7733333333333333,0.20546768113763797,0.22031496782718973,0.11792898923158646
pythia-160m,very_high,draw_2,medium,False,225,0.8755555555555555,0.2981256407369963,0.23855500510083175,0.23241421580314636
pythia-160m,very_high,draw_2,high,False,225,0.9333333333333333,0.3939524366748002,0.2620434438915289,0.3428615927696228
pythia-160m,very_high,draw_2,very_high,True,225,0.9377777777777778,0.48257948000139245,0.2701891705929286,0.49169719219207764
pythia-160m,very_high,draw_2,control,False,225,0.9288888888888889,0.451619488162299,0.25569560065515645,0.4336005449295044
pythia-160m,very_high,draw_3,low,False,225,0.8755555555555555,0.2346701486882133,0.22654701164827667,0.1548038274049759
pythia-160m,very_high,draw_3,medium,False,225,0.9111111111111111,0.3477095347379024,0.2707409081235141,0.28325748443603516
pythia-160m,very_high,draw_3,high,False,225,0.9288888888888889,0.43932784586963763,0.25334275282586516,0.4318666160106659
pythia-160m,very_high,draw_3,very_high,True,225,0.9511111111111111,0.4780045367942916,0.26973853691414107,0.4734838902950287
pythia-160m,very_high,draw_3,control,False,225,0.9333333333333333,0.46736049147684955,0.27777597386923425,0.46910086274147034
pythia-160m,control,draw_1,low,False,225,0.8488888888888889,0.220727533136184,0.20517540182791105,0.16011828184127808
pythia-160m,control,draw_1,medium,False,225,0.9066666666666666,0.3091332727567189,0.23969876712535762,0.2562682628631592
pythia-160m,control,draw_1,high,False,225,0.9244444444444444,0.4102176194700102,0.27302211511317115,0.36796337366104126
pythia-160m,control,draw_1,very_high,False,225,0.9511111111111111,0.4825063630027904,0.2451106720580979,0.5203441977500916
pythia-160m,control,draw_1,control,True,225,0.9244444444444444,0.43776240545428463,0.2618011852542269,0.4411429762840271
pythia-160m,control,draw_2,low,False,225,0.8577777777777778,0.2768739974995454,0.24899295871389238,0.18579460680484772
pythia-160m,control,draw_2,medium,False,225,0.9111111111111111,0.3735138256485677,0.26990102095148916,0.3106909394264221
pythia-160m,control,draw_2,high,False,225,0.92,0.45435325994673703,0.2720893000286209,0.4592052400112152
pythia-160m,control,draw_2,very_high,False,225,0.9333333333333333,0.48252718947310413,0.27442207542556324,0.4744107127189636
pythia-160m,control,draw_2,control,True,225,0.9377777777777778,0.44803173474139635,0.2502510522112105,0.4382864832878113
pythia-160m,control,draw_3,low,False,225,0.8044444444444444,0.2341097270169606,0.22416871685452194,0.1622435748577118
pythia-160m,control,draw_3,medium,False,225,0.88,0.33365114686933034,0.25814541973883404,0.2632453739643097
