node,node_type,layer,in_degree,out_degree,total_degree,model,band,draw
A1.0,attn,1,0,3,3,pythia-70m,high,draw_1
A1.2,attn,1,4,15,19,pythia-70m,high,draw_1
A1.3,attn,1,6,11,17,pythia-70m,high,draw_1
A1.5,attn,1,1,6,7,pythia-70m,high,draw_1
A1.6,attn,1,1,7,8,pythia-70m,high,draw_1
A2.0,attn,2,4,6,10,pythia-70m,high,draw_1
A2.2,attn,2,4,7,11,pythia-70m,high,draw_1
M5,mlp,5,40,1,41,pythia-70m,high,draw_1
A2.5,attn,2,3,4,7,pythia-70m,high,draw_1
A3.0,attn,3,10,3,13,pythia-70m,high,draw_1
A3.2,attn,3,1,3,4,pythia-70m,high,draw_1
A3.7,attn,3,3,3,6,pythia-70m,high,draw_1
A4.5,attn,4,0,2,2,pythia-70m,high,draw_1
A1.7,attn,1,1,4,5,pythia-70m,high,draw_1
R5,resid,5,52,0,52,pythia-70m,high,draw_1
A4.1,attn,4,0,1,1,pythia-70m,high,draw_1
A5.4,attn,5,0,1,1,pythia-70m,high,draw_1
A0.3,attn,0,1,20,21,pythia-70m,high,draw_2
A3.0,attn,3,10,3,13,pythia-70m,high,draw_2
A0.7,attn,0,1,21,22,pythia-70m,high,draw_2
M0,mlp,0,1,34,35,pythia-70m,high,draw_2
A1.3,attn,1,7,13,20,pythia-70m,high,draw_2
M1,mlp,1,10,24,34,pythia-70m,high,draw_2
A2.1,attn,2,5,14,19,pythia-70m,high,draw_2
A2.2,attn,2,5,8,13,pythia-70m,high,draw_2
A2.4,attn,2,6,9,15,pythia-70m,high,draw_2
A2.7,attn,2,11,12,23,pythia-70m,high,draw_2
M2,mlp,2,12,16,28,pythia-70m,high,draw_2
embed,embed,-1,0,18,18,pythia-70m,high,draw_2
A3.1,attn,3,24,10,34,pythia-70m,high,draw_2
A0.1,attn,0,1,16,17,pythia-70m,high,draw_2
A0.2,attn,0,1,8,9,pythia-70m,high,draw_2
A0.4,attn,0,1,12,13,pythia-70m,high,draw_2
A0.5,attn,0,1,18,19,pythia-70m,high,draw_2
A1.1,attn,1,6,13,19,pythia-70m,high,draw_2
A1.2,attn,1,5,13,18,pythia-70m,high,draw_2
A1.4,attn,1,0,1,1,pythia-70m,high,draw_2
A1.5,attn,1,1,5,6,pythia-70m,high,draw_2
A1.7,attn,1,2,3,5,pythia-70m,high,draw_2
A2.0,attn,2,3,6,9,pythia-70m,high,draw_2
A2.3,attn,2,4,9,13,pythia-70m,high,draw_2
A2.5,attn,2,1,5,6,pythia-70m,high,draw_2
A2.6,attn,2,9,11,20,pythia-70m,high,draw_2
A3.2,attn,3,2,2,4,pythia-70m,high,draw_2
A3.3,attn,3,23,3,26,pythia-70m,high,draw_2
A0.0,attn,0,1,9,10,pythia-70m,high,draw_2
A3.4,attn,3,14,6,20,pythia-70m,high,draw_2
A1.6,attn,1,1,6,7,pythia-70m,high,draw_2
A3.5,attn,3,14,4,18,pythia-70m,high,draw_2
A3.6,attn,3,11,8,19,pythia-70m,high,draw_2
A3.7,attn,3,2,3,5,pythia-70m,high,draw_2
M5,mlp,5,40,1,41,pythia-70m,high,draw_2
A1.0,attn,1,0,4,4,pythia-70m,high,draw_2
M3,mlp,3,23,9,32,pythia-70m,high,draw_2
A4.0,attn,4,1,2,3,pythia-70m,high,draw_2
A4.2,attn,4,6,2,8,pythia-70m,high,draw_2
A4.5,attn,4,1,2,3,pythia-70m,high,draw_2
A4.6,attn,4,2,2,4,pythia-70m,high,draw_2
A4.7,attn,4,14,3,17,pythia-70m,high,draw_2
M4,mlp,4,33,7,40,pythia-70m,high,draw_2
A5.0,attn,5,7,1,8,pythia-70m,high,draw_2
A5.1,attn,5,2,1,3,pythia-70m,high,draw_2
A5.2,attn,5,8,1,9,pythia-70m,high,draw_2
A5.3,attn,5,9,1,10,pythia-70m,high,draw_2
A5.7,attn,5,10,1,11,pythia-70m,high,draw_2
A4.4,attn,4,1,1,2,pythia-70m,high,draw_2
A0.6,attn,0,1,2,3,pythia-70m,high,draw_2
R5,resid,5,51,0,51,pythia-70m,high,draw_2
A4.1,attn,4,0,1,1,pythia-70m,high,draw_2
A5.5,attn,5,0,1,1,pythia-70m,high,draw_2
A0.3,attn,0,1,22,23,pythia-70m,high,draw_3
A3.0,attn,3,12,4,16,pythia-70m,high,draw_3
A0.4,attn,0,1,15,16,pythia-70m,high,draw_3
A0.5,attn,0,1,18,19,pythia-70m,high,draw_3
M0,mlp,0,1,38,39,pythia-70m,high,draw_3
A1.2,attn,1,5,14,19,pythia-70m,high,draw_3
A1.3,attn,1,8,15,23,pythia-70m,high,draw_3
