model,band,draw,layer,head,js_divergence
pythia-70m,very_high,draw_3,1,6,0.0
pythia-70m,very_high,draw_3,1,7,0.0
pythia-70m,very_high,draw_3,2,0,0.0
pythia-70m,very_high,draw_3,2,1,0.0
pythia-70m,very_high,draw_3,2,2,0.0
pythia-70m,very_high,draw_3,2,3,0.0
pythia-70m,very_high,draw_3,2,4,0.0
pythia-70m,very_high,draw_3,2,5,0.0
pythia-70m,very_high,draw_3,2,6,0.0
pythia-70m,very_high,draw_3,2,7,0.0
pythia-70m,very_high,draw_3,3,0,0.0
pythia-70m,very_high,draw_3,3,1,0.0
pythia-70m,very_high,draw_3,3,2,0.0
pythia-70m,very_high,draw_3,3,3,0.0
pythia-70m,very_high,draw_3,3,4,0.0
