model,draw,band,layer,head,entropy_base,entropy_circuit,delta_entropy
pythia-70m,draw_1,control,3,5,0.4315498173236847,0.4129413962364197,-0.018608421087265015
pythia-70m,draw_1,control,3,6,0.2334091514348983,0.2273888885974884,-0.00602026283740989
pythia-70m,draw_1,control,3,7,3.48113226890564,3.4899532794952393,0.008821010589599165
pythia-70m,draw_1,control,4,0,1.9747474193573,2.034092664718628,0.0593452453613279
pythia-70m,draw_1,control,4,1,0.3735717236995697,0.384778767824173,0.011207044124603271
pythia-70m,draw_1,control,4,2,0.9581378698349,0.9914227724075317,0.033284902572631725
pythia-70m,draw_1,control,4,3,0.2003750503063202,0.21376973390579224,0.013394683599472046
pythia-70m,draw_1,control,4,4,0.5229580402374268,0.5502955317497253,0.027337491512298584
pythia-70m,draw_1,control,4,5,1.128814458847046,1.1833089590072632,0.054494500160217285
pythia-70m,draw_1,control,4,6,0.5320743918418884,0.5672668814659119,0.03519248962402344
pythia-70m,draw_1,control,4,7,0.7573879957199097,0.771146833896637,0.013758838176727295
pythia-70m,draw_1,control,5,0,0.6170754432678223,0.6230398416519165,0.005964398384094238
pythia-70m,draw_1,control,5,1,0.6354291439056396,0.6426403522491455,0.007211208343505859
pythia-70m,draw_1,control,5,2,0.2525394558906555,0.23816561698913574,-0.014373838901519775
pythia-70m,draw_1,control,5,3,0.1994324028491974,0.1990441232919693,-0.0003882795572280884
pythia-70m,draw_1,control,5,4,0.1103380993008613,0.1064961850643158,-0.0038419142365455072
pythia-70m,draw_1,control,5,5,0.3348578810691833,0.32755351066589355,-0.007304370403289739
pythia-70m,draw_1,control,5,6,0.1136057674884796,0.12584355473518372,0.012237787246704115
pythia-70m,draw_1,control,5,7,0.6009308695793152,0.5776143670082092,-0.023316502571105957
pythia-70m,draw_2,low,0,0,3.876260280609131,3.876260280609131,0.0
pythia-70m,draw_2,low,0,1,2.707736015319824,2.707736015319824,0.0
pythia-70m,draw_2,low,0,2,2.6276514530181885,2.6276514530181885,0.0
pythia-70m,draw_2,low,0,3,0.4653076529502868,0.46530765295028687,5.551115123125783e-17
